asa,aa,a,a,a,a,a
Nome,N1,N2,N3,Média,Situação,DataEntrega
Aluno 1,0.2,8.7,0.8,,,2024-02-17
Aluno 2,1,2,2.2,,,2024-01-07
Aluno 3,1.2,3.2,0.1,,,2024-03-06
Aluno 4,7.6,3.7,5.5,,,2024-01-10
Aluno 5,4.3,4.7,7.8,,,2024-03-17
Aluno 6,abc,5.7,8.6,,,2024-04-17
Aluno 7,6.8,4.1,1.1,,,2024-01-14
Aluno 8,3.6,1.7,9.3,,,2024-02-21
Aluno 9,abc,6.9,7.4,,,2024-01-15
Aluno 10,abc,9.6,2.5,,,2024-01-13
Aluno 11,8.5,6.2,4.8,,,2024-01-27
Aluno 12,2.8,7.7,6.3,,,2024-03-28
Aluno 13,9.7,0.2,2.6,,,2024-03-07
Aluno 14,8,3.8,6.6,,,2024-01-06
Aluno 15,3.9,9.9,4.6,,,2024-02-03
Aluno 16,5.4,9.1,1.6,,,2024-02-10
Aluno 17,abc,2.9,4.1,,,2024-01-18
Aluno 18,abc,4.3,5,,,2024-04-02
Aluno 19,4.7,7.6,2,,,2024-04-27
Aluno 20,abc,1.4,2.4,,,2024-01-01
Aluno 21,8.3,1.8,0.5,,,2024-03-23
Aluno 22,7,1.8,7.5,,,2024-01-27
Aluno 23,3.8,4.2,5.8,,,2024-01-09
Aluno 24,0.6,6.9,7,,,2024-02-13
Aluno 25,7.1,0.3,9.7,,,2024-01-27
Aluno 26,4.5,8.5,9.5,,,2024-01-19
Aluno 27,0.7,0.6,8.8,,,2024-03-17
Aluno 28,7.8,3.4,1.6,,,2024-02-15
Aluno 29,1.2,8.1,2.8,,,2024-04-23
Aluno 30,6.5,6.2,3.7,,,2024-01-04
Aluno 31,4.3,1.5,3.5,,,2024-02-10
Aluno 32,6.6,7.9,2.2,,,2024-02-20
Aluno 33,8.4,6.9,4.5,,,2024-01-31
Aluno 34,7.4,0.8,4.5,,,2024-02-07
Aluno 35,abc,7.3,2.9,,,2024-03-12
Aluno 36,8.1,6.3,3.4,,,2024-04-23
Aluno 37,1.3,5.7,1.5,,,2024-04-29
Aluno 38,8.8,1.9,3.6,,,2024-03-20
Aluno 39,7.1,1.6,4.2,,,2024-04-07
Aluno 40,5.1,1.8,4,,,2024-03-30
